date,exp_name,nultipier,changepoint,region_1,region_2,region_3,region_4,region_5,region_6,region_7,region_8,region_9,region_10,region_11
2/13/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3a,1,0.592,0.654,0.381,0.571,0.501,0.501,0.716,0.897,0.807,0.754,1.020
2/14/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3a,,0.592,0.654,0.381,0.571,0.501,0.501,0.716,0.897,0.807,0.754,1.020
2/15/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3a,,0.592,0.654,0.381,0.571,0.501,0.501,0.716,0.897,0.807,0.754,1.020
2/16/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3a,,0.592,0.654,0.381,0.571,0.501,0.501,0.716,0.897,0.807,0.754,1.020
2/17/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3a,,0.592,0.654,0.381,0.571,0.501,0.501,0.716,0.897,0.807,0.754,1.020
2/18/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3a,,0.592,0.654,0.381,0.571,0.501,0.501,0.716,0.897,0.807,0.754,1.020
2/19/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3a,,0.592,0.654,0.381,0.571,0.501,0.501,0.716,0.897,0.807,0.754,1.020
2/20/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3a,,0.592,0.654,0.381,0.571,0.501,0.501,0.716,0.897,0.807,0.754,1.020
2/21/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3a,,0.592,0.654,0.381,0.571,0.501,0.501,0.716,0.897,0.807,0.754,1.020
2/22/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3a,,0.592,0.654,0.381,0.571,0.501,0.501,0.716,0.897,0.807,0.754,1.020
2/23/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3a,,0.592,0.654,0.381,0.571,0.501,0.501,0.716,0.897,0.807,0.754,1.020
2/24/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3a,,0.592,0.654,0.381,0.571,0.501,0.501,0.716,0.897,0.807,0.754,1.020
2/25/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3a,,0.592,0.654,0.381,0.571,0.501,0.501,0.716,0.897,0.807,0.754,1.020
2/26/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3a,,0.592,0.654,0.381,0.571,0.501,0.501,0.716,0.897,0.807,0.754,1.020
2/27/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3a,,0.592,0.654,0.381,0.571,0.501,0.501,0.716,0.897,0.807,0.754,1.020
2/28/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3a,,0.592,0.654,0.381,0.571,0.501,0.501,0.716,0.897,0.807,0.754,1.020
2/29/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3a,,0.592,0.654,0.381,0.571,0.501,0.501,0.716,0.897,0.807,0.754,1.020
3/1/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3a,,0.592,0.654,0.381,0.571,0.501,0.501,0.716,0.897,0.807,0.754,1.020
3/2/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3a,,0.592,0.654,0.381,0.571,0.501,0.501,0.716,0.897,0.807,0.754,1.020
3/3/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3a,,0.592,0.654,0.381,0.571,0.501,0.501,0.716,0.897,0.807,0.754,1.020
3/4/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3a,,0.592,0.654,0.381,0.571,0.501,0.501,0.716,0.897,0.807,0.754,1.020
3/5/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3a,,0.592,0.654,0.381,0.571,0.501,0.501,0.716,0.897,0.807,0.754,1.020
3/6/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3a,,0.592,0.654,0.381,0.571,0.501,0.501,0.716,0.897,0.807,0.754,1.020
3/7/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3a,,0.592,0.654,0.381,0.571,0.501,0.501,0.716,0.897,0.807,0.754,1.020
3/8/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3a,,0.592,0.654,0.381,0.571,0.501,0.501,0.716,0.897,0.807,0.754,1.020
3/9/2020,20201013_IL_mr_v2_moreSamples_restorefit,ki_multiplier_3a,,0.592,0.654,0.381,0.571,0.501,0.501,0.716,0.897,0.807,0.754,1.020
