date,capacity_multiplier,region,Ki_t,Ki_initial,Ki_rebound,exp_name
2020-11-24,0.75,1,0.10048,0.628,0.16,20201124_IL_ae_v8_fitting
2020-11-24,0.75,10,0.14326,0.754,0.19,20201124_IL_ae_v8_fitting
2020-11-24,0.75,11,0.0867,1.02,0.085,20201124_IL_ae_v8_fitting
2020-11-24,0.75,2,0.10464,0.654,0.16,20201124_IL_ae_v8_fitting
2020-11-24,0.75,3,0.13335,0.381,0.35,20201124_IL_ae_v8_fitting
2020-11-24,0.75,4,0.14846,0.571,0.26,20201124_IL_ae_v8_fitting
2020-11-24,0.75,5,0.2241,0.498,0.45,20201124_IL_ae_v8_fitting
2020-11-24,0.75,6,0.06012,0.501,0.12,20201124_IL_ae_v8_fitting
2020-11-24,0.75,7,0.1611,0.716,0.225,20201124_IL_ae_v8_fitting
2020-11-24,0.75,8,0.12558,0.897,0.14,20201124_IL_ae_v8_fitting
2020-11-24,0.75,9,0.12912,0.807,0.16,20201124_IL_ae_v8_fitting
